naics_2_digits,naics_sector,naics_3_digits,naics_subsector,naics_4_digits,naics_industry_group,naics_5_digits,naics_industry
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
33,Manufacturing,331,Primary Metal Manufacturing,3315,Foundries,33152,Nonferrous Metal Foundries
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33391,Pump and Compressor Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3351,Electric Lighting Equipment Manufacturing,33512,Lighting Fixture Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33994,Office Supplies (except Paper) Manufacturing
44,Retail Trade,445,Food and Beverage Stores,4451,Grocery Stores,44511,Supermarkets and Other Grocery (except Convenience) Stores
48,Transportation and Warehousing,484,Truck Transportation,4842,Specialized Freight Trucking,48421,Used Household and Office Goods Moving
51,Information,511,Publishing Industries (except Internet),5111,"Newspaper, Periodical, Book, and Directory Publishers",51119,Other Publishers
52,Finance and Insurance,525,"Funds, Trusts, and Other Financial Vehicles",5259,Other Investment Pools and Funds,52593,Real Estate Investment Trusts
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",54181,Advertising Agencies
56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,5622,Waste Treatment and Disposal,56221,Waste Treatment and Disposal
71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",7111,Performing Arts Companies,71112,Dance Companies
81,Other Services (except Public Administration),811,Repair and Maintenance,8112,Electronic and Precision Equipment Repair and Maintenance,81121,Electronic and Precision Equipment Repair and Maintenance
92,Public Administration,926,Administration of Economic Programs,9261,Administration of Economic Programs,92612,Regulation and Administration of Transportation Programs
11,"Agriculture, Forestry, Fishing and Hunting",114,"Fishing, Hunting and Trapping",1142,Hunting and Trapping,11421,Hunting and Trapping
31,Manufacturing,311,Food Manufacturing,3116,Animal Slaughtering and Processing,31161,Animal Slaughtering and Processing
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32221,Paperboard Container Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3254,Pharmaceutical and Medicine Manufacturing,32541,Pharmaceutical and Medicine Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3315,Foundries,33151,Ferrous Metal Foundries
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33321,Sawmill and Woodworking Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
33,Manufacturing,337,Furniture and Related Product Manufacturing,3372,Office Furniture (including Fixtures) Manufacturing,33721,Office Furniture (including Fixtures) Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",42433,"Womens, Childrens, and Infants Clothing and Accessories Merchant Wholesalers"
44,Retail Trade,446,Health and Personal Care Stores,4461,Health and Personal Care Stores,44619,Other Health and Personal Care Stores
48,Transportation and Warehousing,481,Air Transportation,4812,Nonscheduled Air Transportation,48121,Nonscheduled Air Transportation
52,Finance and Insurance,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5239,Other Financial Investment Activities,52393,Investment Advice
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5411,Legal Services,54112,Offices of Notaries
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5615,Travel Arrangement and Reservation Services,56159,Other Travel Arrangement and Reservation Services
72,Accommodation and Food Services,722,Food Services and Drinking Places,7225,Restaurants and Other Eating Places,72251,Restaurants and Other Eating Places
92,Public Administration,921,"Executive, Legislative, and Other General Government Suppor",9211,"Executive, Legislative, and Other General Government Suppor",92112,Legislative Bodies
81,Other Services (except Public Administration),811,Repair and Maintenance,8114,Personal and Household Goods Repair and Maintenance,81142,Reupholstery and Furniture Repair
92,Public Administration,926,Administration of Economic Programs,9261,Administration of Economic Programs,92615,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors"
21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining,2131,Support Activities for Mining,21311,Support Activities for Mining
23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23816,Roofing Contractors
31,Manufacturing,311,Food Manufacturing,3116,Animal Slaughtering and Processing,31161,Animal Slaughtering and Processing
31,Manufacturing,314,Textile Product Mills,3149,Other Textile Product Mills,31499,All Other Textile Product Mills
31,Manufacturing,315,Apparel Manufacturing,3159,Apparel Accessories and Other Apparel Manufacturing,31599,Apparel Accessories and Other Apparel Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32519,Other Basic Organic Chemical Manufacturing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32619,Other Plastics Product Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3314,Nonferrous Metal (except Aluminum) Production and Processing,33141,Nonferrous Metal (except Aluminum) Smelting and Refining
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3322,Cutlery and Handtool Manufacturing,33221,Cutlery and Handtool Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33299,All Other Fabricated Metal Product Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3342,Communications Equipment Manufacturing,33421,Telephone Apparatus Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3351,Electric Lighting Equipment Manufacturing,33512,Lighting Fixture Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3364,Aerospace Product and Parts Manufacturing,33641,Aerospace Product and Parts Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,42341,Photographic Equipment and Supplies Merchant Wholesalers
44,Retail Trade,442,Furniture and Home Furnishings Stores,4422,Home Furnishings Stores,44221,Floor Covering Stores
45,Retail Trade,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4511,"Sporting Goods, Hobby, and Musical Instrument Stores",45113,"Sewing, Needlework, and Piece Goods Stores"
48,Transportation and Warehousing,488,Support Activities for Transportation,4881,Support Activities for Air Transportation,48811,Airport Operations
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5222,Nondepository Credit Intermediation,52229,Other Nondepository Credit Intermediation
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5611,Office Administrative Services,56111,Office Administrative Services
62,Health Care and Social Assistance,624,Social Assistance,6241,Individual and Family Services,62411,Child and Youth Services
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8139,"Business, Professional, Labor, Political, and Similar Organizations",81392,Professional Organizations
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11194,Hay Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21223,"Copper, Nickel, Lead, and Zinc Mining"
23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23813,Framing Contractors
31,Manufacturing,311,Food Manufacturing,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,31141,Frozen Food Manufacturing
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32221,Paperboard Container Manufacturing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3322,Cutlery and Handtool Manufacturing,33221,Cutlery and Handtool Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3333,Commercial and Service Industry Machinery Manufacturing,33331,Commercial and Service Industry Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33999,All Other Miscellaneous Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4245,Farm Product Raw Material Merchant Wholesalers,42451,Grain and Field Bean Merchant Wholesalers
44,Retail Trade,448,Clothing and Clothing Accessories Stores,4481,Clothing Stores,44813,Childrens and Infants Clothing Stores
48,Transportation and Warehousing,485,Transit and Ground Passenger Transportation,4859,Other Transit and Ground Passenger Transportation,48599,Other Transit and Ground Passenger Transportation
51,Information,517,Telecommunications,5172,Wireless Telecommunications Carriers (except Satellite),51721,Wireless Telecommunications Carriers (except Satellite)
52,Finance and Insurance,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5239,Other Financial Investment Activities,52399,All Other Financial Investment Activities
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5415,Computer Systems Design and Related Services,54151,Computer Systems Design and Related Services
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6214,Outpatient Care Centers,62142,Outpatient Mental Health and Substance Abuse Centers
72,Accommodation and Food Services,722,Food Services and Drinking Places,7222,Limited-Service Eating Places,72221,Limited-Service Eating Places
81,Other Services (except Public Administration),812,Personal and Laundry Services,8123,Drycleaning and Laundry Services,81233,Linen and Uniform Supply
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11191,Tobacco Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
23,Construction,238,Specialty Trade Contractors,2382,Building Equipment Contractors,23822,"Plumbing, Heating, and Air-Conditioning Contractors"
31,Manufacturing,312,Beverage and Tobacco Product Manufacturing,3121,Beverage Manufacturing,31211,Soft Drink and Ice Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31523,Womens and Girls Cut and Sew Apparel Manufacturing
